epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.839,1.75956,1.98085,1.32349,0.68419,0.43905,0.54644,0.305,1.50307,1.86224,1.11026,0.000660256,0.000660256,0.000660256
2,46.0611,1.5016,1.24551,1.14848,0.54681,0.5404,0.50602,0.29698,1.49569,1.37381,1.09972,0.00119556,0.00119556,0.00119556
3,63.3004,1.44088,1.12089,1.14527,0.71529,0.6142,0.69912,0.44045,1.40176,1.17799,1.08021,0.00159886,0.00159886,0.00159886
4,80.7079,1.41413,1.05573,1.12096,0.7816,0.69702,0.77868,0.46634,1.46009,1.06296,1.08786,0.001406,0.001406,0.001406
5,98.054,1.36268,0.96032,1.09586,0.81418,0.74494,0.82436,0.53005,1.29536,0.90879,1.03939,0.001208,0.001208,0.001208
6,116.586,1.29188,0.89665,1.06045,0.85259,0.78344,0.8645,0.57602,1.22958,0.80726,1.00031,0.00101,0.00101,0.00101
7,133.882,1.23462,0.83801,1.03809,0.85773,0.7969,0.87516,0.60514,1.15678,0.76316,0.98604,0.000812,0.000812,0.000812
8,151.113,1.18773,0.79698,1.01632,0.85271,0.81691,0.89081,0.61805,1.13791,0.74515,0.97164,0.000614,0.000614,0.000614
9,168.442,1.14836,0.75308,0.99694,0.87176,0.81831,0.90315,0.63439,1.12136,0.70493,0.96868,0.000416,0.000416,0.000416
10,186.906,1.11142,0.72457,0.98766,0.88576,0.82438,0.91423,0.65108,1.08142,0.66676,0.95333,0.000218,0.000218,0.000218
